拍數(Beat)   | 時間(Time)     | 強度(Strength)    | 狀態(Status)
196        | 120.721s       | 0.482           |    ...
197        | 121.347s       | 0.516           | ⬤ HIT (出球)
198        | 121.974s       | 0.557           | ⬤ HIT (出球)
199        | 122.601s       | 0.499           |    ...
200        | 123.240s       | 0.577           | ⬤ HIT (出球)
201        | 123.844s       | 0.664           | ⬤ HIT (出球)
202        | 124.459s       | 0.580           | ⬤ HIT (出球)
203        | 125.086s       | 0.716           | ⬤ HIT (出球)
204        | 125.701s       | 0.606           | ⬤ HIT (出球)
205        | 126.317s       | 0.603           | ⬤ HIT (出球)
206        | 126.932s       | 0.597           | ⬤ HIT (出球)
207        | 127.559s       | 0.553           | ⬤ HIT (出球)
208        | 128.186s       | 0.442           |    ...
209        | 128.813s       | 0.554           | ⬤ HIT (出球)
210        | 129.405s       | 0.563           | ⬤ HIT (出球)
211        | 130.020s       | 0.423           |    ...
212        | 130.635s       | 0.511           | ⬤ HIT (出球)
213        | 131.251s       | 0.475           |    ...
214        | 131.855s       | 0.473           |    ...
215        | 132.493s       | 0.471           |    ...
216        | 133.097s       | 0.536           | ⬤ HIT (出球)
217        | 133.689s       | 0.526           | ⬤ HIT (出球)
218        | 134.327s       | 0.543           | ⬤ HIT (出球)
219        | 134.943s       | 0.532           | ⬤ HIT (出球)
220        | 135.558s       | 0.481           |    ...
221        | 136.197s       | 0.459           |    ...
222        | 136.800s       | 0.486           |    ...
223        | 137.427s       | 0.531           | ⬤ HIT (出球)
224        | 138.054s       | 0.521           | ⬤ HIT (出球)
225        | 138.670s       | 0.483           |    ...
226        | 139.285s       | 0.503           | ⬤ HIT (出球)
227        | 139.923s       | 0.512           | ⬤ HIT (出球)
228        | 140.516s       | 0.506           | ⬤ HIT (出球)
229        | 141.131s       | 0.529           | ⬤ HIT (出球)
230        | 141.758s       | 0.513           | ⬤ HIT (出球)
231        | 142.396s       | 0.513           | ⬤ HIT (出球)
232        | 143.012s       | 0.417           |    ...
233        | 143.615s       | 0.408           |    ...
234        | 144.219s       | 0.499           |    ...
235        | 144.823s       | 0.454           |    ...
236        | 145.461s       | 0.552           | ⬤ HIT (出球)
237        | 146.065s       | 0.499           |    ...
238        | 146.680s       | 0.501           | ⬤ HIT (出球)
239        | 147.319s       | 0.559           | ⬤ HIT (出球)
240        | 147.911s       | 0.534           | ⬤ HIT (出球)
241        | 148.538s       | 0.464           |    ...
242        | 149.153s       | 0.464           |    ...
243        | 149.769s       | 0.515           | ⬤ HIT (出球)
244        | 150.430s       | 0.458           |    ...
245        | 151.069s       | 0.358           |    ...
246        | 151.661s       | 0.581           | ⬤ HIT (出球)
247        | 152.276s       | 0.477           |    ...
248        | 152.903s       | 0.554           | ⬤ HIT (出球)
249        | 153.519s       | 0.447           |    ...
250        | 154.146s       | 0.406           |    ...
251        | 154.773s       | 0.567           | ⬤ HIT (出球)
252        | 155.376s       | 0.455           |    ...
253        | 155.980s       | 0.449           |    ...
254        | 156.619s       | 0.517           | ⬤ HIT (出球)
255        | 157.222s       | 0.503           | ⬤ HIT (出球)
256        | 157.838s       | 0.388           |    ...
257        | 158.465s       | 0.586           | ⬤ HIT (出球)
258        | 159.068s       | 0.514           | ⬤ HIT (出球)
259        | 159.695s       | 0.443           |    ...
260        | 160.311s       | 0.536           | ⬤ HIT (出球)
261        | 160.938s       | 0.457           |    ...
262        | 161.483s       | 0.381           |    ...
263        | 162.180s       | 0.506           | ⬤ HIT (出球)
264        | 162.772s       | 0.420           |    ...
265        | 163.399s       | 0.529           | ⬤ HIT (出球)
266        | 164.026s       | 0.478           |    ...
267        | 164.641s       | 0.471           |    ...
268        | 165.256s       | 0.446           |    ...
269        | 165.895s       | 0.508           | ⬤ HIT (出球)
270        | 166.499s       | 0.458           |    ...
271        | 166.940s       | 0.347           |    ...
272        | 167.427s       | 0.501           | ⬤ HIT (出球)
273        | 168.043s       | 0.489           |    ...
274        | 168.670s       | 0.459           |    ...
275        | 169.308s       | 0.502           | ⬤ HIT (出球)
276        | 169.900s       | 0.450           |    ...
277        | 170.527s       | 0.483           |    ...
278        | 171.131s       | 0.458           |    ...
279        | 171.746s       | 0.438           |    ...
