Index        | Time         | Strength        | Status
238          | 146.390s       | 0.171           |    ...
239          | 147.017s       | 0.154           |    ...
240          | 147.621s       | 0.149           |    ...
241          | 148.236s       | 0.054           |    ...
242          | 148.863s       | 0.283           |    ...
243          | 149.455s       | 0.306           |    ...
244          | 150.059s       | 0.123           |    ...
245          | 150.698s       | 0.456           | ⬤ HIT
246          | 151.266s       | 0.079           |    ...
247          | 151.824s       | 0.079           |    ...
248          | 152.393s       | 0.233           |    ...
249          | 152.938s       | 0.064           |    ...
249          | 153.496s       | 0.409           | ⬤ HIT
250          | 154.122s       | 0.155           |    ...
251          | 154.749s       | 0.220           |    ...
252          | 155.353s       | 0.426           | ⬤ HIT
253          | 155.957s       | 0.268           |    ...
254          | 156.572s       | 0.109           |    ...
256          | 157.222s       | 0.260           |    ...
256          | 157.826s       | 0.214           |    ...
258          | 158.453s       | 0.159           |    ...
259          | 159.068s       | 0.311           |    ...
260          | 159.684s       | 0.333           | ⬤ HIT
261          | 160.322s       | 0.079           |    ...
262          | 160.926s       | 0.383           | ⬤ HIT
263          | 161.530s       | 0.149           |    ...
264          | 162.145s       | 0.101           |    ...
265          | 162.772s       | 0.261           |    ...
266          | 163.387s       | 0.097           |    ...
267          | 164.014s       | 0.106           |    ...
268          | 164.618s       | 0.321           |    ...
269          | 165.233s       | 0.159           |    ...
270          | 165.837s       | 0.107           |    ...
271          | 166.464s       | 0.396           | ⬤ HIT
272          | 167.091s       | 0.107           |    ...
273          | 167.706s       | 0.102           |    ...
274          | 168.333s       | 0.396           | ⬤ HIT
275          | 168.960s       | 0.125           |    ...
276          | 169.575s       | 0.137           |    ...
277          | 170.191s       | 0.303           |    ...
278          | 170.806s       | 0.070           |    ...
279          | 171.421s       | 0.097           |    ...
280          | 172.048s       | 0.367           | ⬤ HIT
281          | 172.652s       | 0.154           |    ...
282          | 173.291s       | 0.220           |    ...
283          | 173.906s       | 0.429           | ⬤ HIT
284          | 174.510s       | 0.194           |    ...
285          | 175.160s       | 0.152           |    ...
286          | 175.752s       | 0.471           | ⬤ HIT
287          | 176.379s       | 0.093           |    ...
288          | 176.994s       | 0.120           |    ...
289          | 177.609s       | 0.295           |    ...
290          | 178.213s       | 0.202           |    ...
291          | 178.852s       | 0.179           |    ...
292          | 179.467s       | 0.348           | ⬤ HIT
293          | 180.106s       | 0.103           |    ...
294          | 180.709s       | 0.133           |    ...
295          | 181.313s       | 0.407           | ⬤ HIT
296          | 181.952s       | 0.143           |    ...
297          | 182.567s       | 0.176           |    ...
298          | 183.159s       | 0.222           |    ...
299          | 183.786s       | 0.065           |    ...
300          | 184.401s       | 0.110           |    ...
301          | 185.028s       | 0.391           | ⬤ HIT
302          | 185.655s       | 0.160           |    ...
303          | 186.282s       | 0.200           |    ...
304          | 186.897s       | 0.353           | ⬤ HIT
305          | 187.501s       | 0.141           |    ...
306          | 188.140s       | 0.278           |    ...
307          | 188.755s       | 0.392           | ⬤ HIT
308          | 189.359s       | 0.136           |    ...
309          | 189.986s       | 0.095           |    ...
310          | 190.613s       | 0.312           |    ...
311          | 191.216s       | 0.417           | ⬤ HIT
312          | 191.797s       | 0.222           |    ...
313          | 192.459s       | 0.196           |    ...
314          | 193.062s       | 0.077           |    ...
315          | 193.689s       | 0.062           |    ...
316          | 194.316s       | 0.956           | ⬤ HIT
317          | 194.943s       | 0.416           | ⬤ HIT
318          | 195.558s       | 0.249           |    ...
319          | 196.162s       | 0.365           | ⬤ HIT
320          | 196.789s       | 0.188           |    ...
321          | 197.404s       | 0.113           |    ...
322          | 198.020s       | 0.245           |    ...
323          | 198.635s       | 0.087           |    ...
324          | 199.250s       | 0.152           |    ...
325          | 199.877s       | 0.281           |    ...
326          | 200.481s       | 0.165           |    ...
327          | 201.120s       | 0.091           |    ...
328          | 201.747s       | 0.456           | ⬤ HIT
329          | 202.374s       | 0.201           |    ...
330          | 202.977s       | 0.311           |    ...
331          | 203.604s       | 0.530           | ⬤ HIT
332          | 204.231s       | 0.328           | ⬤ HIT
333          | 204.835s       | 0.138           |    ...
334          | 205.450s       | 0.296           |    ...
335          | 206.089s       | 0.150           |    ...
336          | 206.681s       | 0.236           |    ...
337          | 207.308s       | 0.487           | ⬤ HIT
338          | 207.911s       | 0.182           |    ...
339          | 208.550s       | 0.137           |    ...
340          | 209.165s       | 0.304           |    ...
341          | 209.781s       | 0.083           |    ...
342          | 210.396s       | 0.193           |    ...
343          | 211.011s       | 0.282           |    ...
344          | 211.615s       | 0.310           |    ...
345          | 212.242s       | 0.097           |    ...
346          | 212.869s       | 0.437           | ⬤ HIT
347          | 213.484s       | 0.252           |    ...
348          | 214.088s       | 0.204           |    ...
349          | 214.715s       | 0.364           | ⬤ HIT
350          | 215.353s       | 0.192           |    ...
351          | 215.969s       | 0.099           |    ...
352          | 216.596s       | 0.410           | ⬤ HIT
353          | 217.199s       | 0.321           |    ...
354          | 217.815s       | 0.295           |    ...
355          | 218.453s       | 0.481           | ⬤ HIT
356          | 219.045s       | 0.481           | ⬤ HIT
357          | 219.661s       | 0.079           |    ...
358          | 220.288s       | 0.408           | ⬤ HIT
359          | 220.915s       | 0.177           |    ...
360          | 221.530s       | 0.147           |    ...
361          | 222.145s       | 0.448           | ⬤ HIT
362          | 222.761s       | 0.117           |    ...
363          | 223.399s       | 0.195           |    ...
364          | 224.015s       | 0.372           | ⬤ HIT
365          | 224.641s       | 0.244           |    ...
366          | 225.245s       | 0.208           |    ...
367          | 225.860s       | 0.554           | ⬤ HIT
368          | 226.476s       | 0.252           |    ...
369          | 227.091s       | 0.158           |    ...
370          | 227.706s       | 0.411           | ⬤ HIT
371          | 228.322s       | 0.239           |    ...
372          | 228.949s       | 0.255           |    ...
373          | 229.552s       | 0.594           | ⬤ HIT
374          | 230.191s       | 0.190           |    ...
375          | 230.795s       | 0.127           |    ...
376          | 231.422s       | 0.273           |    ...
377          | 232.037s       | 0.220           |    ...
